pID,experience,trialID,imageID,imageName,timestamp,cancerType,diagnosis,diagnosticGrading,groundTruth,distanceToGroundtruth,distanceToGroundtruthISUP,taskCompletionTime,imgW,imgH,zoom,imageZoom,accuracyType,correctness,downScale,tissueArea,tumorArea,ratioTumorToTissue,numTumors,minSize,meanSize,maxSize,stdSize,tumorSpan,portionTumorAnnotated,iouTumorVsAnnotation,numFixation,zoomTime,panTime,interpretTime,notInImageTime,otherTime,numZoom,numPan,zoomProp,panProp,interpretProp,tumorAccuracyGroup,minZoom,meanZoom,maxZoom
P4,2,24,C14,test_056.tif,9/21/2022 10:36,Lymph,Atypical,,0,0,,89.802,97792,221184,38.44,0.2503,correct,1,16,3631559,0,0.0,0,0,0,0,0,0,0.0,0.0,269,21.635,22.345,43.275,0.166,2.381,11,35,0.24795140699999998,0.256088476,0.49596011700000003,0,0.0065,0.1579718390804597,0.2503
P4,2,31,C52,test_043.tif,9/21/2022 10:43,Lymph,Atypical,,0,0,,164.88400000000001,97792,221184,129.736,0.8447,correct,1,16,1562692,0,0.0,0,0,0,0,0,0,0.0,0.0,443,25.723000000000003,47.981,87.178,0.5670000000000001,3.435,9,41,0.159887371,0.298237217,0.541875412,0,0.0065,0.4476267605633785,0.8447
P4,2,55,C38,test_118.tif,9/21/2022 12:09,Lymph,Atypical,,0,0,,159.184,97792,218112,100.976,0.6667,correct,1,16,2053146,0,0.0,0,0,0,0,0,0,0.0,0.0,450,27.393,65.301,45.687,0.0,20.803,16,56,0.19795347600000002,0.471892818,0.330153706,0,0.0066,0.29433730158730287,1.0
P11,3,4,C13,test_054.tif,11/4/2022 13:43,Lymph,Atypical,,0,0,,181.547,97792,217088,150.77200000000002,1.0,correct,1,16,3228289,0,0.0,0,0,0,0,0,0,0.0,0.0,512,12.069,38.542,126.00200000000001,1.618,3.3160000000000003,104,119,0.068335853,0.21822855600000002,0.713435591,0,0.0066,0.2652797040169141,1.0
P1,2,8,C13,test_054.tif,9/16/2022 13:31,Lymph,Benign,,0,0,,34.483000000000004,97792,217088,7.595,0.0504,correct,1,16,3228289,0,0.0,0,0,0,0,0,0,0.0,0.0,92,7.774,2.099,15.898,0.8170000000000001,7.895,11,13,0.30165690100000003,0.081448139,0.616894959,0,0.0066,0.10617848101265816,0.255
P1,2,20,C8,test_045.tif,9/16/2022 13:38,Lymph,Benign,,0,0,,27.822,97792,221184,11.39,0.0742,correct,1,16,1786371,0,0.0,0,0,0,0,0,0,0.0,0.0,75,7.224,1.7109999999999999,12.867,0.134,5.886,11,13,0.331345748,0.078479039,0.590175213,0,0.0065,0.09657031250000007,0.3754
P1,2,30,C53,test_058.tif,9/16/2022 13:45,Lymph,Benign,,0,0,,28.845,94208,100352,5.061,0.0726,correct,1,16,5998123,0,0.0,0,0,0,0,0,0,0.0,0.0,90,6.306,1.1179999999999999,14.945,0.05,6.426,13,9,0.281907998,0.049979882999999996,0.668112119,0,0.0143,0.05545609756097565,0.1634
P1,2,32,C14,test_056.tif,9/16/2022 13:46,Lymph,Benign,,0,0,,40.766,97792,221184,11.39,0.0742,correct,1,16,3631559,0,0.0,0,0,0,0,0,0,0.0,0.0,96,12.626,2.044,18.607,0.5,6.989,21,13,0.379421222,0.061423806,0.5591549720000001,0,0.0065,0.07245222222222233,0.1669
P1,2,33,C45,test_024.tif,9/16/2022 13:46,Lymph,Benign,,0,0,,20.026,97792,221184,3.375,0.022000000000000002,correct,1,16,1648700,0,0.0,0,0,0,0,0,0,0.0,0.0,53,6.223,0.93,7.476,0.266,5.131,8,6,0.42538792799999997,0.063572356,0.511039716,0,0.0065,0.06698888888888885,0.2503
P1,2,35,C36,test_115.tif,9/16/2022 13:47,Lymph,Benign,,0,0,,13.940999999999999,97792,221184,7.593,0.0494,correct,1,16,722237,0,0.0,0,0,0,0,0,0,0.0,0.0,32,2.668,0.43200000000000005,2.572,0.064,8.205,4,3,0.470380818,0.07616361099999999,0.453455571,0,0.0065,0.06874444444444444,0.1669
P1,2,39,C43,test_014.tif,9/16/2022 13:49,Lymph,Benign,,0,0,,24.191999999999997,110592,100352,0.7490000000000001,0.0143,correct,1,16,5037918,0,0.0,0,0,0,0,0,0,0.0,0.0,69,2.7539999999999996,1.8159999999999998,14.045,0.266,5.311,6,12,0.147945205,0.097555735,0.75449906,0,0.0143,0.05613157894736842,0.1634
P1,2,42,C28,test_095.tif,9/16/2022 13:50,Lymph,Benign,,0,0,,17.415,110592,57344,1.0,0.0192,correct,1,16,3504608,0,0.0,0,0,0,0,0,0,0.0,0.0,50,6.087999999999999,0.73,5.441,0.0,5.156000000000001,6,5,0.496614732,0.059548087,0.443837181,0,0.0192,0.07023658536585367,0.2183
P1,2,44,C57,test_091.tif,9/16/2022 13:51,Lymph,Benign,,0,0,,25.493000000000002,97792,221184,11.39,0.0742,correct,1,16,965121,0,0.0,0,0,0,0,0,0,0.0,0.0,72,3.786,2.1519999999999997,14.079,0.15,5.3260000000000005,12,12,0.189139232,0.10750861800000001,0.7033521509999999,0,0.0065,0.1036066666666667,0.2503
P1,2,47,C52,test_043.tif,9/16/2022 13:52,Lymph,Benign,,0,0,,24.480999999999998,97792,221184,17.085,0.1112,correct,1,16,1562692,0,0.0,0,0,0,0,0,0,0.0,0.0,66,5.221,1.704,12.525,0.131,4.9,10,11,0.268431877,0.087609254,0.643958869,0,0.0065,0.10119107142857145,0.1669
P1,2,49,C22,test_078.tif,9/16/2022 13:54,Lymph,Benign,,0,0,,33.298,110592,96768,2.6210000000000004,0.0502,correct,1,16,2814821,0,0.0,0,0,0,0,0,0,0.0,0.0,97,4.623,2.775,19.49,0.0,6.41,9,16,0.17193543600000002,0.103205891,0.724858673,0,0.0149,0.08252790697674427,0.2543
P1,2,50,C12,test_053.tif,9/16/2022 13:55,Lymph,Benign,,0,0,,36.593,97792,218624,11.390999999999998,0.075,correct,1,16,8265772,0,0.0,0,0,0,0,0,0,0.0,0.0,108,6.507000000000001,1.9780000000000002,21.94,0.2,5.968,15,12,0.213870173,0.065012325,0.721117502,0,0.0066,0.08093789473684214,0.2532
P1,2,52,C38,test_118.tif,9/16/2022 13:56,Lymph,Benign,,0,0,,18.62,97792,218112,2.25,0.0149,correct,1,16,2053146,0,0.0,0,0,0,0,0,0,0.0,0.0,58,2.387,1.2229999999999999,9.368,0.316,5.3260000000000005,7,8,0.183926645,0.0942364,0.721836955,0,0.0066,0.08083255813953491,0.2538
